Code,"License Type","Indicator Name","Short definition","Long definition","Source","Topic","Unit of measure","Periodicity","Base Period","Aggregation method","Statistical concept and methodology","Development relevance","Limitations and exceptions","General comments","License URL"
National parks, game reserves, wilderness areas and other legally established protected areas cover more than 10 percent of the total forest area in most countries and regions. FAO estimates that around 10 million people are employed in forest management and conservation - but many more are directly dependent on forests for their livelihoods. Also, 80 about percent of the world's forests are publicly owned, but ownership and management of forests by communities, individuals and private companies is on the rise.

Close to 1.2 billion hectares of forest are managed primarily for the production of wood and non-wood forest products. An additional 25 percent of forest area is designated for multiple uses - in most cases including the production of wood and non-wood forest products. The area designated primarily for productive purposes has decreased by more than 50 million hectares since 1990 as forests have been designated for other purposes.","The Food and Agricultural Organization (FAO) has been collecting and analyzing data on forest area since 1946. This is done at intervals of 5-10 years as part of the Global Forest Resources Assessment (FRA). FAO reports data for 229 countries and territories; for the remaining 56 small island states and territories where no information is provided, a report is prepared by FAO using existing information and a literature search. The data are aggregated at sub-regional, regional and global levels by the FRA team at FAO, and estimates are produced by straight summation.

The lag between the reference year and the actual production of data series as well as the frequency of data production varies between countries. Deforested areas do not include areas logged but intended for regeneration or areas degraded by fuelwood gathering, acid precipitation, or forest fires. Negative numbers indicate an increase in forest area.

Data includes areas with bamboo and palms; forest roads, firebreaks and other small open areas; forest in national parks, nature reserves and other protected areas such as those of specific scientific, historical, cultural or spiritual interest; windbreaks, shelterbelts and corridors of trees with an area of more than 0.5 hectares and width of more than 20 meters; plantations primarily used for forestry or protective purposes, such as rubber-wood plantations and cork oak stands. Data excludes tree stands in agricultural production systems, such as fruit plantations and agroforestry systems. Forest area also excludes trees in urban parks and gardens. The proportion of forest area to total land area is calculated and changes in the proportion are computed to identify trends.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
AG.LND.FRST.ZS,"CC BY-4.0","Forest area (% of land area)","","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.","Environment: Land use","","Annual","","Weighted average","Forest is determined both by the presence of trees and the absence of other predominant land uses. The trees should reach a minimum height of 5 meters in situ. Areas under reforestation that have not yet reached but are expected to reach a canopy cover of 10 percent and a tree height of 5 meters are included, as are temporarily unstocked areas, resulting from human intervention or natural causes, which are expected to regenerate.

The Food and Agriculture Organization (FAO) provides detail information on forest cover, and adjusted estimates of forest cover. The survey uses a uniform definition of forest. Although FAO provides a breakdown of forest cover between natural forest and plantation for developing countries, forest data used to derive this indictor data does not reflect that breakdown. Total land area does not include inland water bodies such as major rivers and lakes. Variations from year to year may be due to updated or revised data rather than to change in area. The indictor is derived by dividing total area under forest of a country by country's total land area, and multiplying by 100.","As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity.

On a global average, more than one-third of all forest is primary forest, i.e. forest of native species where there are no clearly visible indications of human activities and the ecological processes have not been significantly disturbed. Primary forests, in particular tropical moist forests, include the most species-rich, diverse terrestrial ecosystems. The decrease of forest area, .11 percent over a ten-year period, is largely due to reclassification of primary forest to "other naturally regenerated forest" because of selective logging and other human interventions.

Destruction of rainforests remains a significant environmental problem Much of what remains of the world's rainforests is in the Amazon basin, where the Amazon Rainforest covers approximately 4 million square kilometers. The regions with the highest tropical deforestation rate are in Central America and tropical Asia. FAO estimates that the decrease of primary forest area, 0.4 percent over a ten-year period, is largely due to reclassification of primary forest to "other naturally regenerated forest" because of selective logging and other human interventions. Large-scale planting of trees is significantly reducing the net loss of forest area globally, and afforestation and natural expansion of forests in some countries and regions have reduced the net loss of forest area significantly at the global level.

Forests cover about 31 percent of total land area of the world; the world's total forest area is just over 4 billion hectares. On a global average, more than one-third of all forest is primary forest, i.e. forest of native species where there are no clearly visible indications of human activities and the ecological processes have not been significantly disturbed. Primary forests, in particular tropical moist forests, include the most species-rich, diverse terrestrial ecosystems.

National parks, game reserves, wilderness areas and other legally established protected areas cover more than 10 percent of the total forest area in most countries and regions. FAO estimates that around 10 million people are employed in forest management and conservation - but many more are directly dependent on forests for their livelihoods. Close to 1.2 billion hectares of forest are managed primarily for the production of wood and non-wood forest products. An additional 25 percent of forest area is designated for multiple uses - in most cases including the production of wood and non-wood forest products. The area designated primarily for productive purposes has decreased by more than 50 million hectares since 1990 as forests have been designated for other purposes.","FAO has been collecting and analyzing data on forest area since 1946. This is done at intervals of 5-10 years as part of the Global Forest Resources Assessment (FRA). FAO reports data for 229 countries and territories; for the remaining 56 small island states and territories where no information is provided, a report is prepared by FAO using existing information and a literature search. The data are aggregated at sub-regional, regional and global levels by the FRA team at FAO, and estimates are produced by straight summation.

The lag between the reference year and the actual production of data series as well as the frequency of data production varies between countries. Deforested areas do not include areas logged but intended for regeneration or areas degraded by fuelwood gathering, acid precipitation, or forest fires. Negative numbers indicate an increase in forest area.

Data includes areas with bamboo and palms; forest roads, firebreaks and other small open areas; forest in national parks, nature reserves and other protected areas such as those of specific scientific, historical, cultural or spiritual interest; windbreaks, shelterbelts and corridors of trees with an area of more than 0.5 hectares and width of more than 20 meters; plantations primarily used for forestry or protective purposes, such as rubber-wood plantations and cork oak stands. Data excludes tree stands in agricultural production systems, such as fruit plantations and agroforestry systems. Forest area also excludes trees in urban parks and gardens. The proportion of forest area to total land area is calculated and changes in the proportion are computed to identify trends.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
AG.LND.IRIG.AG.ZS,"CC BY-4.0","Agricultural irrigated land (% of total agricultural land)","","Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Food and Agriculture Organization, electronic files and web site.","Environment: Land use","","Annual","","Weighted average","Irrigated agricultural area refers to area equipped to provide water (via artificial means of irrigation such as by diverting streams, flooding, or spraying) to the crops. In non-irrigated agricultural areas, production of crops is dependent on rain-fed irrigation. 

Agricultural land constitutes only a part of any country's total area, which can include areas not suitable for agriculture, such as forests, mountains, and inland water bodies. Agricultural land can also be classified as irrigated and non-irrigated land. In arid and semi-arid countries agriculture is often confined to irrigated land, with very little farming possible in non-irrigated areas.","Worldwide, irrigated agriculture accounts for about four-fifths of global water withdrawals. The share of irrigated land ranges widely, from 4 percent of the total area cropped in Africa to 42 percent in South Asia. The leading countries are India and China with about 30 percent and 52 percent of all cropland irrigated, respectively. Without irrigation and drainage, much of the increases in agricultural output that has fed the world's growing population and stabilized food production would not have been possible.

In the dry sub-humid countries, irrigation is critical for crop production. Due to highly variable rainfall, long dry seasons, and recurrent droughts, dry spells and floods, water management is a key determinant for agricultural production in these regions and is increasingly becoming more important with climate change. World Bank estimates that rainfed agriculture is most significant in Sub-Saharan Africa where it accounts for about 96 percent of the cropland.

Irrigation and drainage continue to be an important source of productivity growth, especially in Sub-Saharan Africa and parts of Latin America that still have large untapped water resources for agriculture. In other regions where the scope for further expanding irrigated agriculture is limited, more efforts are needed to enhance the policy, technical, and governance aspects of agricultural water use.

Agricultural land covers more than one-third of the world's land area. In many industrialized countries, agricultural land is subject to zoning regulations. In the context of zoning, agricultural land (or more properly agriculturally zoned land) refers to plots that may be used for agricultural activities, regardless of the physical type or quality of land. Data on agricultural land are valuable for conducting studies on a various perspectives concerning agricultural production, food security and for deriving cropping intensity among others uses. Agricultural land indicator, along with land-use indicators, can also elucidate the environmental sustainability of countries' agricultural practices.
Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.

There is no single correct mix of inputs to the agricultural land, as it is dependent on local climate, land quality, and economic development; appropriate levels and application rates vary by country and over time and depend on the type of crops, the climate and soils, and the production process used.","The data are collected by the Food and Agriculture Organization of the United Nations (FAO) from official national sources through annual questionnaires and are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
AG.LND.PRCP.MM,"CC BY-4.0","Average precipitation in depth (mm per year)","","Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.","Food and Agriculture Organization, electronic files and web site.","Environment: Land use","","Annual","","","","The agriculture sector is the most water-intensive sector, and water delivery in agriculture is increasingly important. Data on irrigated agricultural land and data on average precipitation illustrate how countries obtain water for agricultural use.","The data are collected by the Food and Agriculture Organization of the United Nations (FAO) through annual questionnaires. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible.","","https://datacatalog.worldbank.org/public-licenses#cc-by"
